CLAIM_ID_SEQ	OEM_CODE	DEALER	DISTR	FC	ENGINE_NAME_DESC	FAILCODE	SHOPORDERNUM	FAILURE_MODE_BUCKET	CLEANED_CORRECTION	DOCUMENT
17695581	1457	24989	1693	687.0,4616.0	X15 3 2017	ELTS	1032900	ACT(E) ELECTROLYTIC C26 FAILURE	Replaced turbo speed sensor after C26 failure. Performed stationary regen and road test.	{"OEM_CODE":1457,"DEALER":"24989","DISTR":"1693","FC":"687.0,4616.0","ENGINE_NAME_DESC":"X15 3 2017","FAILCODE":"ELTS","SHOPORDERNUM":"1032900","FAILURE_MODE_BUCKET":"ACT(E) ELECTROLYTIC C26 FAILURE","CLEANED_CORRECTION":"Replaced turbo speed sensor after C26 failure. Performed stationary regen and road test."}
17695582	1458	24990	1694	123.0,4567.0	ISX12 2020	THAS	1032901	ACT(E) ELECTROLYTIC C26 FAILURE	Replaced turbocharger assembly due to C26 failure. Completed functional test post-repair.	{"OEM_CODE":1458,"DEALER":"24990","DISTR":"1694","FC":"123.0,4567.0","ENGINE_NAME_DESC":"ISX12 2020","FAILCODE":"THAS","SHOPORDERNUM":"1032901","FAILURE_MODE_BUCKET":"ACT(E) ELECTROLYTIC C26 FAILURE","CLEANED_CORRECTION":"Replaced turbocharger assembly due to C26 failure. Completed functional test post-repair."}
17695583	1459	24991	1695	901.0,4211.0	X15 3 2018	ELTS	1032902	ACT(E) ELECTROLYTIC C26 FAILURE	Replaced turbocharger actuator after C26 failure. Performed stationary regen and road test.	{"OEM_CODE":1459,"DEALER":"24991","DISTR":"1695","FC":"901.0,4211.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"ELTS","SHOPORDERNUM":"1032902","FAILURE_MODE_BUCKET":"ACT(E) ELECTROLYTIC C26 FAILURE","CLEANED_CORRECTION":"Replaced turbocharger actuator after C26 failure. Performed stationary regen and road test."}
17695584	1460	24992	1696	234.0,3987.0	ISX15 2019	THAS	1032903	ACT(E) ELECTROLYTIC C26 FAILURE	Replaced speed sensor due to C26 failure. Completed functional test post-repair.	{"OEM_CODE":1460,"DEALER":"24992","DISTR":"1696","FC":"234.0,3987.0","ENGINE_NAME_DESC":"ISX15 2019","FAILCODE":"THAS","SHOPORDERNUM":"1032903","FAILURE_MODE_BUCKET":"ACT(E) ELECTROLYTIC C26 FAILURE","CLEANED_CORRECTION":"Replaced speed sensor due to C26 failure. Completed functional test post-repair."}
17695585	1461	24993	1697	567.0,4563.0	X15 3 2017	ELTS	1032904	ACT(E) ELECTROLYTIC C26 FAILURE	Replaced turbocharger assembly due to C26 failure. Performed stationary regen and road test.	{"OEM_CODE":1461,"DEALER":"24993","DISTR":"1697","FC":"567.0,4563.0","ENGINE_NAME_DESC":"X15 3 2017","FAILCODE":"ELTS","SHOPORDERNUM":"1032904","FAILURE_MODE_BUCKET":"ACT(E) ELECTROLYTIC C26 FAILURE","CLEANED_CORRECTION":"Replaced turbocharger assembly due to C26 failure. Performed stationary regen and road test."}
17695588	1464	24996	1700	789.0,4573.0	X15 3 2018	THAC	1032907	CONSEQUENTIAL DAMAGE	Replaced faulty throttle actuator due to consequential damage. Performed road test post-repair.	{"OEM_CODE":1464,"DEALER":"24996","DISTR":"1700","FC":"789.0,4573.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"THAC","SHOPORDERNUM":"1032907","FAILURE_MODE_BUCKET":"CONSEQUENTIAL DAMAGE","CLEANED_CORRECTION":"Replaced faulty throttle actuator due to consequential damage. Performed road test post-repair."}
17695589	1465	24997	1701	890.0,4574.0	ISX12 2020	THAS	1032908	CONSEQUENTIAL DAMAGE	Replaced faulty turbocharger speed sensor due to consequential damage. Performed functional test post-repair.	{"OEM_CODE":1465,"DEALER":"24997","DISTR":"1701","FC":"890.0,4574.0","ENGINE_NAME_DESC":"ISX12 2020","FAILCODE":"THAS","SHOPORDERNUM":"1032908","FAILURE_MODE_BUCKET":"CONSEQUENTIAL DAMAGE","CLEANED_CORRECTION":"Replaced faulty turbocharger speed sensor due to consequential damage. Performed functional test post-repair."}
17695590	1466	24998	1702	345.0,4211.0	X15 3 2017	THAC	1032909	CONSEQUENTIAL DAMAGE	Replaced faulty fuel injector due to consequential damage. Performed stationary regen and road test.	{"OEM_CODE":1466,"DEALER":"24998","DISTR":"1702","FC":"345.0,4211.0","ENGINE_NAME_DESC":"X15 3 2017","FAILCODE":"THAC","SHOPORDERNUM":"1032909","FAILURE_MODE_BUCKET":"CONSEQUENTIAL DAMAGE","CLEANED_CORRECTION":"Replaced faulty fuel injector due to consequential damage. Performed stationary regen and road test."}
17695591	1467	24999	1703	123.0,3987.0	ISX15 2019	THAS	1032910	CONSEQUENTIAL DAMAGE	Replaced faulty engine control module due to consequential damage. Completed functional test post-repair.	{"OEM_CODE":1467,"DEALER":"24999","DISTR":"1703","FC":"123.0,3987.0","ENGINE_NAME_DESC":"ISX15 2019","FAILCODE":"THAS","SHOPORDERNUM":"1032910","FAILURE_MODE_BUCKET":"CONSEQUENTIAL DAMAGE","CLEANED_CORRECTION":"Replaced faulty engine control module due to consequential damage. Completed functional test post-repair."}
17695592	1468	25000	1704	567.0,4563.0	X15 3 2018	THAC	1032911	CONSEQUENTIAL DAMAGE	Replaced faulty turbocharger actuator due to consequential damage. Performed road test post-repair.	{"OEM_CODE":1468,"DEALER":"25000","DISTR":"1704","FC":"567.0,4563.0","ENGINE_NAME_DESC":"X15 3 2018","FAILCODE":"THAC","SHOPORDERNUM":"1032911","FAILURE_MODE_BUCKET":"CONSEQUENTIAL DAMAGE","CLEANED_CORRECTION":"Replaced faulty turbocharger actuator due to consequential damage. Performed road test post-repair."}
